term,term_type,valence,base_vader_value,collision_with_base,installed_value,source_path,source_sha256,frozen_path,frozen_sha256,approved_term_count,rejected_term_count,validation_status
guidance cut,phrase,-2.9,,False,-2.9,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
guidance raise,phrase,2.9,,False,2.9,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
hawkish,word,-1,,False,-1,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
headwind,word,-1.8,,False,-1.8,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
impairment,word,-2.8,,False,-2.8,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
insolvency,word,-3.9,,False,-3.9,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
litigation,word,-2,-0.8,True,-2,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
material weakness,phrase,-3,,False,-3,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
outperform,word,2.8,,False,2.8,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
oversubscribed,word,2,,False,2,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
profit warning,phrase,-3,,False,-3,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
record revenue,phrase,3,,False,3,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
restatement,word,-2.8,,False,-2.8,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
restructuring,word,-1.9,,False,-1.9,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
subpoena,word,-2.2,,False,-2.2,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
tailwind,word,1.8,,False,1.8,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
underperform,word,-2.8,,False,-2.8,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
upgrade,word,2.8,,False,2.8,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
writedown,word,-2.8,,False,-2.8,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/week_8/vader_model/output/tables/09_finance_lexicon_approved.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,/Users/chris/Desktop/fins 5545/fins-agent/fins2026/z5711503_projectB/resources/finance_vader_lexicon.csv,4c16eeab9edec5c970234d0a30bcbd89c84c21abf94e4677b8b9568c8b6a28c6,29,10,pass
